ref_area,indicator,source,classif1,time,obs_value,note_source
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2002,3.32,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2002,3.4,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2002,3.58,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2002,7.15,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2002,3.87,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2002,3.82,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2002,0,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2002,1.51,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2002,-1.12,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2002,3.73,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2002,3.32,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2002,2.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2002,2.32,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2003,3.66,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2003,2.63,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2003,7.96,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2003,4.66,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2003,5.51,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2003,2.3,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2003,0,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2003,3.64,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2003,0.02,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2003,2.78,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2003,3.66,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2003,3.98,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2003,2.59,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2004,2.53,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2004,3.33,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2004,-0.49,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2004,3.89,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2004,2.08,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2004,1.85,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2004,0.01,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2004,3.02,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2004,0.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2004,2.46,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2004,2.53,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2004,4.65,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2004,1.54,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2005,3.4,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2005,3.75,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2005,0.68,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2005,0.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2005,6.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2005,2.03,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2005,0.02,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2005,3.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2005,0.39,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2005,1.97,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2005,3.4,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2005,3.37,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2005,1.92,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2006,3.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2006,5.18,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2006,0.91,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2006,1.17,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2006,7.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2006,1.5,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2006,0,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2006,1.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2006,0.01,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2006,3.11,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2006,3.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2006,3,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2006,2.13,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2007,5.39,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2007,13.67,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2007,11.19,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2007,4.44,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2007,5.51,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2007,4.59,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2007,-2.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2007,7.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2007,2.29,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2007,8.73,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2007,6,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2007,6.42,R1:3139
